name,files,tags,Icarus,UhdmVerilator,tree_sitter_verilog,Slang,Yosys,moore_parse,UhdmYosys,moore,Sv2v_zachjs,Odin,Verilator,Surelog,Verible,sv_parser
sanity,/tmpfs/src/github/sv-tests/tests/sanity.sv,sanity,True,,True,True,True,True,True,True,True,True,True,True,True,True
identifiers,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6--identifiers.sv,5.6 uvm-req,True,,True,True,True,True,True,True,True,True,True,True,True,True
string-basic,/tmpfs/src/github/sv-tests/tests/chapter-5/5.9-string-basics.sv,5.9 5.3,True,,False,True,True,True,True,True,True,True,True,True,True,True
structure-replication,/tmpfs/src/github/sv-tests/tests/chapter-5/5.10-structure-replication.sv,5.10,False,,True,True,False,True,False,True,True,False,False,True,True,True
nonescaped-access,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.1--nonescaped-access.sv,5.6.1,True,,True,True,True,True,True,True,True,True,True,True,True,True
pragma-directive,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.4--compiler-directives-pragma.sv,5.6.4,False,,False,True,False,False,True,False,True,True,True,True,False,True
integers-underscores,/tmpfs/src/github/sv-tests/tests/chapter-5/5.7.1--integers-underscores.sv,5.7.1,True,,True,True,True,False,False,False,True,False,True,True,True,True
string-assignment,/tmpfs/src/github/sv-tests/tests/chapter-5/5.9-string-assignment.sv,5.9,True,,True,True,False,True,False,True,True,False,True,True,True,True
timescale-directive,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.4--compiler-directives-timescale.sv,5.6.4,True,,True,True,True,True,True,True,True,False,True,True,True,True
system-functions,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.3--system-functions.sv,5.6.3,True,,False,True,True,True,False,True,True,True,True,True,True,True
builtin-methods-string,/tmpfs/src/github/sv-tests/tests/chapter-5/5.13-builtin-methods-strings.sv,5.13,True,,False,True,False,True,False,False,True,False,True,True,True,True
time-literals,/tmpfs/src/github/sv-tests/tests/chapter-5/5.8-time-literals.sv,5.8,False,,True,True,False,True,False,True,True,False,True,True,True,True
real-token,/tmpfs/src/github/sv-tests/tests/chapter-5/5.7.2-real-token.sv,5.7.2,True,,True,True,False,True,True,False,True,False,True,True,True,True
string-special-chars,/tmpfs/src/github/sv-tests/tests/chapter-5/5.9.1-string-special-chars.sv,5.9.1,True,,False,True,True,False,True,False,True,True,True,True,True,True
attributes-operator,/tmpfs/src/github/sv-tests/tests/chapter-5/5.12-attributes-operator.sv,5.12,True,,True,True,True,True,False,True,False,False,True,True,True,True
comments,/tmpfs/src/github/sv-tests/tests/chapter-5/5.4--coments.sv,5.4 uvm-req,True,,True,True,True,True,True,True,True,False,True,True,True,True
attributes-case,/tmpfs/src/github/sv-tests/tests/chapter-5/5.12-attributes-case.sv,5.12,True,,True,True,True,True,True,True,True,False,True,True,True,True
integers-unsized,/tmpfs/src/github/sv-tests/tests/chapter-5/5.7.1--integers-unsized.sv,5.7.1,True,,True,True,True,True,False,True,True,False,True,True,True,True
debug-directives,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.4--compiler-directives-debug.sv,5.6.4,False,,False,True,False,False,False,False,True,False,True,True,True,True
structure-arrays,/tmpfs/src/github/sv-tests/tests/chapter-5/5.10-structure-arrays.sv,5.10,False,,True,True,False,True,False,True,True,False,True,True,True,True
structure,/tmpfs/src/github/sv-tests/tests/chapter-5/5.10-structures.sv,5.10,False,,True,True,False,True,False,True,True,False,False,True,True,True
attributes-conditional,/tmpfs/src/github/sv-tests/tests/chapter-5/5.12-attributes-conditional.sv,5.12,True,,True,True,True,True,False,True,False,False,True,True,True,True
resetall-directive,/tmpfs/src/github/sv-tests/tests/chapter-5/5.6.4--compiler-directives-resetall.sv,5.6.4,True,,True,True,True,True,True,True,True,False,True,True,True,True
